DistrictCode,StateName,DistrictName,Population,Male,Female,Literate,LiterateMale,LiterateFemale,Worker,WorkerMale,WorkerFemale,MainWorker,MarginWorker,NonWorker,CultivatorWorker,AgriculturalWorker,HouseholdWorker,OtherWorkers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,OthersReligion,ReligionNotStated,LPGoPNGHousehold,HousholdsWithElectricLighting,HouseholdsWithInternet,HouseholdsWithComputer,Household,RuralHousehold,UrbanHousehold,BelowPrimaryEducation,PrimaryEducation,MiddleEducation,SecondaryEducation,HigherEducation,GraduateEducation,OtherEducation,Literate,Illiterate,AgeGroup0_29,AgeGroup30_49,AgeGroup_50,AgeNotStated,HouseholdWithBicycle,HouseholdWith4Wheeler,HouseholdWith2Wheeler,OwnedHousehold,RentedHousehold
1,JAMMU AND KASHMIR,Kupwara,870354,474190,396164,439654,282823,156831,229064,190899,38165,123837,105227,641290,34680,56759,7946,129679,37128,823286,1700,5600,66,39,13,2522,15828,83071,762,5256,181664,158438,23226,60616,101642,99947,74948,39709,21751,6402,405015,289765,600759,178435,89679,1481,3019,2988,1808,104807,618
2,JAMMU AND KASHMIR,Badgam,753745,398041,355704,335649,207741,127908,214866,162578,52288,132003,82863,538879,55299,36630,29102,93835,10110,736054,1489,5559,47,6,2,478,15118,90190,1999,5892,187839,160649,27190,68336,80862,83141,66459,41367,27950,6857,374972,342646,503223,160933,88978,611,10013,5091,5848,98036,609
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,78971,54516,93770,,30936,75079,53265,21814,57125,17954,58408,20869,1645,1020,51545,22882,19057,658,1092,88635,103,54,1006,13645,17250,574,2150,54394,36920,17474,10452,15181,17900,16265,8923,6197,575,75493,32637,70703,41515,21019,250,609,4271,1289,19387,893
4,JAMMU AND KASHMIR,Kargil,140802,77785,63017,86236,56301,29935,51873,39839,12034,28941,22932,88929,8266,3763,1222,38622,10341,108239,604,1171,20126,28,4,289,3285,15824,235,1005,48144,40370,7774,12732,19083,20874,16938,9826,3077,408,82938,39854,87532,35561,17488,221,488,1847,652,16646,1419
5,JAMMU AND KASHMIR,Punch,476835,251899,224936,261724,163333,98391,161393,117677,43716,73247,88146,315442,54264,31583,3930,71616,32604,431279,958,11188,83,10,2,711,13160,62900,346,3342,147408,132139,15269,55762,72024,69219,46062,29517,13962,1884,288430,164044,304979,109818,61334,704,846,1731,2407,87711,762
6,JAMMU AND KASHMIR,Rajouri,642415,345351,297064,364109,224469,139640,290912,184752,106160,130377,160535,351503,136527,24016,4656,125713,221880,402879,983,15513,189,26,3,942,23946,96012,673,6219,213578,196070,17508,70996,91859,108785,65921,35804,18576,3036,394977,242306,404903,153165,83319,1028,2203,3128,7261,121447,1669
7,JAMMU AND KASHMIR,Kathua,616435,326109,290326,389204,228499,160705,200431,161548,38883,142847,57584,416004,69533,21566,3952,105380,540063,64234,1828,9551,24,16,2,717,32772,109422,1443,6112,214847,181374,33473,69396,82715,106411,91522,47694,24330,4504,426572,181297,357864,160123,97684,764,17726,4687,23014,114949,2179
8,JAMMU AND KASHMIR,Baramula,1008039,534733,473306,545149,337170,207979,304200,249581,54619,187959,116241,703839,57495,62246,15084,169375,30621,959185,1497,14770,140,29,7,1790,33022,138180,3698,10645,259475,210543,48932,76778,117000,137510,107837,57932,48285,9708,555050,350119,636524,239659,130513,1343,13361,10075,8145,144033,1100
9,JAMMU AND KASHMIR,Bandipore,392232,207680,184552,185979,117058,68921,149317,101380,47937,75173,74144,242915,28232,32882,20484,67719,8439,382006,572,555,44,17,2,597,8868,45469,985,3155,98076,80521,17555,34064,47240,48849,35630,18644,12721,2268,199416,163648,252378,90465,48802,587,5645,2237,2284,55995,338
10,JAMMU AND KASHMIR,Srinagar,1236829,651124,585705,748584,431746,316838,407188,333151,74037,330547,76641,829641,12228,10408,20095,364457,42540,1177342,2746,12187,285,74,2,1653,138119,165403,16413,33831,262239,4518,257721,88911,173309,178723,176409,132727,121856,32114,904049,310225,693238,351561,190330,1700,44501,34586,39804,160923,5135
11,JAMMU AND KASHMIR,Ganderbal,297446,158720,,143276,90581,52695,100890,73305,27585,52949,47941,196556,15337,19312,7630,58611,5592,290581,406,486,25,8,4,344,10410,38487,878,2779,77346,63788,13558,25817,38735,38375,28247,15005,9633,2212,158024,116734,194165,66945,35911,425,6005,2313,2709,42382,308
12,JAMMU AND KASHMIR,Pulwama,560440,293064,,293958,178326,115632,188420,138428,49992,98306,90114,372020,49746,34080,10615,93979,13840,535159,1109,9440,35,6,18,833,16828,73629,1537,5293,169223,147520,21703,36201,54808,73991,67368,40931,31286,5897,310482,190369,342601,137032,80111,696,5479,6164,4551,80452,459
13,JAMMU AND KASHMIR,Shupiyan,266215,136480,,136500,80355,56145,87721,63931,23790,54703,33018,178494,47424,10835,3395,26067,3116,262263,429,178,6,1,6,216,3727,35282,884,3440,80888,75616,5272,26468,29593,36939,28617,16501,10782,2010,150910,107053,170086,60752,35158,219,1636,3634,4656,41503,265
14,JAMMU AND KASHMIR,Anantnag,1078692,559767,,545532,324417,,389684,244032,145652,176800,212884,689008,140957,76364,16322,156041,13180,1057005,1449,6140,55,7,7,849,28984,114899,2712,8612,277733,207067,70666,73719,99059,129174,97121,52407,41570,9160,502210,337265,704145,239988,133519,1040,6295,7846,5541,140994,1149
15,JAMMU AND KASHMIR,Kulgam,424483,217620,,209085,125052,,159990,102317,57673,77812,82178,264493,69173,29928,6193,54696,4267,418076,460,1035,27,25,9,584,4301,47913,838,3542,121130,95952,25178,36066,47268,60470,45383,24214,18240,3190,234831,175199,266858,99870,57253,502,1853,2421,3318,68472,405
16,JAMMU AND KASHMIR,Doda,409936,213641,196295,219083,138620,80463,151912,101144,50768,79377,72535,258024,69947,12199,1932,67834,187621,220614,472,422,21,22,42,722,7963,61831,596,3077,133617,122267,11350,43794,47350,62719,48359,31416,12647,1846,248131,163565,263576,93189,52744,427,563,1804,1550,76189,1997
17,JAMMU AND KASHMIR,Ramban,283713,149132,134581,124065,82938,41127,87212,68476,18736,52051,35161,196501,41394,8810,2538,34470,81026,200516,414,753,43,3,252,706,3982,34243,417,2644,89622,84281,5341,33971,35284,35115,22591,13331,4923,1498,146713,141812,188526,61604,33220,363,214,958,612,53377,455
18,JAMMU AND KASHMIR,Kishtwar,230696,120165,110531,107506,68700,38806,82974,56779,26195,44718,38256,147722,39271,16296,1186,26221,93931,133225,277,450,2094,3,514,202,4118,24067,274,1651,78371,72378,5993,25022,25675,27745,19550,14521,5438,2529,120480,101166,145931,53415,31084,266,439,850,1533,43840,463
19,JAMMU AND KASHMIR,Udhampur,554985,296784,258201,322354,197543,124811,243672,163845,79827,152442,91230,311313,113020,11396,2641,116615,489044,59771,1962,3418,106,57,235,392,20008,73999,1214,5744,183360,148664,34696,58567,80129,86008,55024,29657,17345,4030,330760,194838,339145,140785,74757,298,3948,3800,8953,90329,2544
20,JAMMU AND KASHMIR,Reasi,314667,166461,148206,150542,93937,56605,144767,88755,56012,88462,56305,169900,96147,4009,534,44077,153898,156275,1208,3107,15,7,3,154,6552,31588,602,2849,107833,95572,12261,33411,40215,36184,24066,14064,4733,575,153248,143293,203967,70767,39743,190,1340,1878,3551,52218,1415
21,JAMMU AND KASHMIR,Jammu,1529958,813821,716137,1137135,641916,495219,508622,417456,91166,410344,98278,1021336,68613,36873,10589,392547,1289240,107489,12104,114272,470,1987,321,4075,197168,294739,19905,46657,502609,254566,248043,135391,185962,253542,261852,159257,146501,30616,1173121,268279,816827,435895,275585,1651,68272,44063,113156,274859,18255
22,JAMMU AND KASHMIR,Samba,318898,169124,149774,228139,130312,97827,92526,81952,10574,74129,18397,226372,16894,6105,1520,68007,275311,22950,2306,17961,48,16,6,300,34063,61159,992,4465,114236,94247,19989,29138,41233,59931,61407,30503,14055,2600,238867,65643,177277,88246,53022,353,13653,4093,17664,60716,1646
23,HIMACHAL PRADESH,Chamba,519080,261320,257760,323842,186064,137778,294035,158791,135244,119632,174403,225045,196665,9193,4521,83656,479782,32455,1559,2745,1740,57,14,728,21458,96082,1615,5117,200231,186395,13836,56272,96789,67653,64515,40440,15506,3252,344427,154575,306555,130606,81566,353,1657,5074,8880,94367,6546
24,HIMACHAL PRADESH,Kangra,1510075,750591,759484,1152640,606443,546197,675170,403756,271414,313915,361255,834905,303007,54849,15662,301652,1461140,19797,3023,8929,14511,194,208,2273,148361,330081,8053,22753,627328,588321,39007,127699,243617,223099,284124,192936,91236,13577,1176288,271892,766581,419172,319420,4902,38456,22727,69192,314828,16832
25,HIMACHAL PRADESH,Lahul AND Spiti,31564,16588,14976,21845,12897,8948,19295,10763,8532,15190,4105,12269,11227,572,167,7329,11649,74,212,35,19572,3,1,18,2046,5618,61,252,17434,17434,0,3776,5042,4011,3934,3557,2378,119,22817,6515,15928,9181,6200,255,108,536,564,5037,1224
26,HIMACHAL PRADESH,Kullu,437903,225452,212451,307672,174550,133122,269084,148829,120255,193876,75208,168819,197141,12372,2707,56864,415669,2974,1568,1396,15377,94,83,742,40064,91322,2623,7010,188704,167995,20709,48384,77363,61854,58122,39081,23168,2377,310349,103136,244727,120510,72282,384,2450,8479,6979,80610,12616
27,HIMACHAL PRADESH,Mandi,999777,498065,501712,723747,393669,330078,572671,297464,275207,284154,288517,427106,387944,15822,7134,161771,981412,9460,876,4081,2628,43,86,1191,59324,214491,5333,16401,462825,431129,31696,100052,159043,132147,180188,128549,54139,9350,763468,218570,524285,279321,194661,1510,10927,15958,26366,205510,11024
28,HIMACHAL PRADESH,Hamirpur,454768,217070,237698,358091,180555,177536,241931,118724,123207,126153,115778,212837,147103,8824,3347,82657,449412,3711,243,591,95,293,9,414,34978,104120,2521,7525,211348,196116,15232,37327,71107,72114,91184,64363,35620,5263,376978,72551,224044,123941,106641,142,7094,6665,16955,99538,4452
29,HIMACHAL PRADESH,Una,521173,263692,257481,399715,,186434,215346,141612,73734,134482,80864,305827,84800,19604,3427,107515,480138,14275,390,26009,56,70,10,225,43809,105929,2412,8238,205217,185091,20126,51838,87913,81256,105204,60626,32120,5511,424468,87735,273223,142351,105358,241,41378,8059,36913,101443,5195
30,HIMACHAL PRADESH,Bilaspur,381956,192764,189192,287620,155599,132021,205871,111543,94328,103406,102465,176085,127169,4138,2561,72003,371973,6984,236,2387,113,10,7,246,17262,79146,1574,6281,164445,152458,11987,35817,59489,53515,64730,45695,25474,3241,287961,65864,193671,107367,80497,421,5387,6573,11397,75560,4092
31,HIMACHAL PRADESH,Solan,580320,308754,271566,428578,244372,184206,298737,190001,108736,219235,79502,281583,141267,10283,4969,142218,548579,14678,1452,13926,574,591,110,410,53722,119866,5250,14478,244296,192787,51509,50331,89407,83992,95232,59363,36803,8280,423408,104084,321533,167168,90808,811,12426,15117,25275,86649,31305
32,HIMACHAL PRADESH,Sirmaur,529855,276289,253566,362645,205617,157028,280083,169399,110684,193906,86177,249772,182958,10730,5313,81082,476830,33215,577,15501,2645,236,86,765,28904,91509,2220,8593,192156,171102,21054,57853,100123,78103,67080,38282,23352,4048,368841,140486,310244,136839,82471,301,16691,7459,17523,83947,10156
33,HIMACHAL PRADESH,Shimla,814010,425039,388971,612642,342846,269796,430926,258628,172298,311770,119156,383084,249786,26114,7967,147059,791449,11810,2025,4047,3262,185,197,1035,108888,172754,9177,24127,375165,279269,95896,69967,113536,113305,141490,95341,80414,9748,623801,137576,425721,241956,145577,756,2813,23107,8186,126522,44241
34,HIMACHAL PRADESH,Kinnaur,84121,46249,37872,60699,36697,24002,56273,33863,22410,46782,9491,27848,32995,2537,944,19797,64732,448,485,249,18086,29,45,47,10740,17865,354,2563,44514,44514,0,9400,13749,11437,11140,7871,5118,713,59428,16944,42360,26599,15075,87,190,2775,857,13926,4511
35,PUNJAB,Gurdaspur,2298323,1212617,1085706,1634719,907660,727059,757138,637652,119486,625778,131360,1541185,147912,100684,30903,477639,1074332,27667,176587,1002874,405,580,812,15066,244468,411216,14428,38445,606348,420860,185488,180897,315156,290618,372317,243539,104345,22107,1528979,478020,1261421,611353,423301,2248,280874,32484,194705,409745,14231
